2 0.533797 1 0.707107  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000247
4 1.817796 1 1.036566  4 1 0 0   0 0 0  0.000000 0.000000  2.505994	0 0.000274
8 7.473160 1 2.119476  8 1 0 0   0 0 0  0.000000 0.000000  5.065306	0 0.000292
16 9.161113 1 2.820948  16 1 0 0   0 0 0  0.000000 0.000000  9.704061	0 0.000378
32 10.849067 2 3.521396  32 1 0 0   0 0 0  0.000000 0.000000  17.275361	0 0.000403
64 13.546906 2 3.941825  64 1 0 0   0 0 0  0.000000 0.000000  36.416887	0 0.000444
128 16.415321 4 4.138081  128 1 0 0   0 0 0  0.000000 0.000000  70.914289	0 0.000582
256 18.903244 5 4.702167  256 1 0 0   0 0 0  0.000000 0.000000  130.791543	0 0.000828
512 22.277614 17 5.470770  512 1 0 0   0 0 0  0.000000 0.000000  241.641774	0 0.001088
1024 26.374450 49 6.665306  1024 1 0 0   0 0 0  0.000000 0.000000  474.699187	0 0.001824
2048 30.789047 105 7.819880  2048 1 0 0   0 0 0  0.000000 0.000000  861.581957	0 0.002944
4096 36.251451 248 9.594468  4096 1 0 0   0 0 0  0.000000 0.000000  1634.654350	0 0.006119
8192 42.736279 576 11.781890  8192 1 0 0   0 0 0  0.000000 0.000000  3078.479946	0 0.011011
16384 50.900115 1319 14.613906  16384 1 0 0   0 0 0  0.000000 0.000000  5844.030595	0 0.022765
32768 60.684302 2914 18.194007  32768 1 0 0   0 0 0  0.000000 0.000000  11207.710188	0 0.051051
65536 72.724430 6732 22.761614  65536 1 0 0   0 0 0  0.000000 0.000000  21553.785100	0 0.109538
131072 87.623544 16020 28.454997  131072 1 0 0   0 0 0  0.000000 0.000000  41816.610219	0 0.256429
262144 106.177104 38044 35.674784  262144 1 0 0   0 0 0  0.000000 0.000000  81227.946371	0 0.608869
524288 129.205258 91945 44.866690  524287 1 0 0   0 0 0  0.000000 0.000000  159745.740548	0 1.597484
1000000 155.435001 209428 55.483801  999997 1 0 0   0 0 0  0.000000 0.000000  299473.976763	0 4.232576
