40 48 -2 12501
-52 2 -4 1996
46 29 -4 0
-9 -6 1 2540
29 56 0 13091
-38 -29 0 231
-29 -28 -4 0
-12 11 0 0
54 19 4 0
-17 -31 2 3061
-21 62 3 6664
-5 -36 1 16953
-44 5 -4 1916
15 1 0 195
42 4 1 14443
31 9 1 16098
-57 34 -4 601
-63 29 -3 29963
-24 -26 -4 162
2 17 4 1
18 -1 -1 0
-13 -13 -2 14186
57 5 -2 18368
17 48 -3 9090
25 14 -4 0
-3 21 -2 3738
1 2 3 0
64 -30 -2 0
-57 -16 -3 3605
13 8 4 395
-52 -51 -3 13711
55 -47 4 3550
38 31 2 0
39 -50 -2 11320
-22 -26 0 2323
56 9 3 39396
-54 13 -1 7733
13 63 -2 840
-2 -30 -1 8033
25 -25 4 439
-23 55 3 7939
-33 -17 -3 1222
-38 7 1 15876
-35 -43 -4 14819
37 -42 -3 38
-20 -40 -3 0
-5 65 0 8866
26 -65 1 9705
22 -70 -3 8702
60 -11 1 8939
-29 34 4 16033
-52 -33 -4 5661
12 1 -2 10783
49 -12 0 0
-19 -59 3 32523
23 18 -1 32551
51 13 2 0
-10 -52 4 0
-38 51 -2 175
-43 -35 2 0
-23 -12 0 380
-38 -63 -1 7283
-46 -59 1 7283
4 -39 1 0
32 4 3 359
47 -44 0 2368
63 15 -1 26487
-52 -29 0 5661
-64 -9 1 0
-29 -19 4 0
-72 28 4 3890
14 -46 2 3204
-2 48 2 1
8 52 -2 840
-8 -22 -4 0
19 -2 4 6401
-5 -56 3 0
-32 -54 2 4374
-35 47 -2 2241
-2 -37 -1 0
-44 39 -4 9882
60 38 -2 0
61 -34 -2 1886
-32 41 3 2241
-33 -32 4 1451
14 -33 -2 6816
51 36 3 0
-3 55 4 1001
-1 -49 3 0
-4 6 -2 13
-4 72 -3 8866
33 43 2 0
-43 63 -4 175
-37 19 -4 2620
19 -6 1 0
4 -17 4 0
12 51 -4 840
-59 25 1 13
-17 -29 4 1362
-14 28 -2 175
-26 -66 1 0
-34 -55 1 31701
-9 -31 4 0
6 15 -3 15
-21 -24 1 0
-45 36 0 601
-57 14 3 1996
0 -59 -1 2661
-5 58 0 5151
-27 -63 -4 902
11 -49 -2 58
8 -45 0 58
-70 18 -2 1916
17 28 -1 540
2 -1 -4 16
-15 16 -2 0
-64 -38 1 5661
-63 -36 -4 10706
-6 -46 2 0
53 10 4 0
-36 56 4 175
-20 -42 4 0
27 -1 -4 0
-27 46 -2 10840
-15 31 4 175
-29 -19 3 1222
-46 -32 4 16513
-54 -14 2 0
-29 -2 -4 0
58 28 0 0
17 -1 -1 6211
-57 -49 -1 13711
2 -63 -3 9329
51 -34 -1 27121
-41 -46 1 1451
28 -52 0 58
42 -33 2 38
-42 -60 -2 7283
13 -34 1 58
-33 13 -1 28
46 17 3 0
0 28 -2 175
8 -42 4 1849
18 -53 -4 7497
60 15 3 32740
44 -20 -4 3866
-39 45 -1 1448
-65 2 4 1392
-25 -35 -1 162
-13 45 -4 1001
-65 28 0 29576
-28 -10 -3 0
19 -44 2 9131
-21 58 2 5230
-66 1 2 376
-32 2 -2 13
38 7 0 0
-36 -47 1 1451
44 -54 -4 8623
35 -57 2 38
-37 -2 4 0
-54 -30 1 5661
-35 20 -1 13
52 -29 2 38
-63 -33 0 1816
-43 -31 1 1451
15 -43 -3 58
-6 -22 0 38695
10 13 -3 0
5 14 -3 1527
-2 6 0 35
-48 22 4 10603
52 7 4 0
-15 16 -3 164
-50 -55 1 5251
-17 58 2 1001
-48 -41 2 1451
-28 -36 4 0
-15 51 0 1001
-18 -66 2 0
17 55 -1 9197
-2 -62 3 0
-49 -10 0 5115
5 -5 0 0
19 29 -4 1699
14 26 0 798
2 15 4 0
-4 67 4 13179
56 -5 -3 1857
-6 12 -4 3072
-7 -4 2 10
36 -57 3 1580
61 29 3 5667
-17 -2 -3 0
-27 -26 -4 0
47 37 1 0
28 45 2 0
2 -37 -4 1207
-22 -73 1 0
-55 17 2 957
25 -53 1 58
57 -23 3 43342
-12 -16 -4 328
42 -34 -1 38
57 -26 4 0
49 -44 -3 2368
-39 -33 -1 4327
-45 1 3 1356
-65 35 1 601
-19 8 3 13
15 -61 2 19850
8 18 -2 5721
-38 -6 4 0
-63 21 -1 3890
10 -39 -4 1849
-25 29 2 175
-42 -11 0 0
16 -17 -3 38
27 -53 0 28046
39 -47 1 38
-16 23 2 175
-9 -54 -2 0
-51 -60 -1 25034
8 -39 -1 14279
26 -51 -2 58
18 -56 -3 58
36 33 -1 16763
22 44 2 141
52 22 -4 0
47 23 2 1624
62 -2 4 0
23 -1 2 495
32 17 -1 0
25 -1 0 0
-40 59 -2 175
-37 -52 1 1451
13 22 1 1
-58 -12 4 9234
-41 38 -4 1448
6 -8 2 0
-38 17 -3 376
-57 -42 4 1816
11 36 -4 6440
-48 -10 -3 0
-16 17 -3 4
35 -45 -3 13881
-62 24 1 3890
66 0 -4 0
33 56 -4 28134
30 -62 -2 1580
32 37 0 141
31 -38 -4 4335
-33 -8 2 526
0 1 2 17
43 -27 0 2960
-49 -14 2 0
-39 -24 -3 0
46 5 4 0
-19 56 -3 175
-51 -33 -1 5540
-16 -75 -1 0
-28 -69 0 1412
10 44 2 1
64 -30 4 0
20 32 -3 922
-42 59 2 164
-10 58 4 1001
25 42 -2 141
12 12 -3 0
-7 0 0 9
-12 65 -2 1001
21 -6 -4 0
25 -35 -3 1500
-31 -19 1 11945
-12 38 -3 2337
45 44 0 0
-19 9 -4 0
-61 -7 2 376
-61 16 -2 1916
-26 0 4 13
5 -59 -3 14930
39 -40 -1 4289
-45 32 -1 8596
23 -33 -2 58
-36 -62 -4 1412
62 5 -4 0
15 56 2 840
-55 -25 1 2327
-53 -18 4 8321
-3 5 0 205
-35 29 4 28
31 52 2 0
-32 6 4 0
60 31 3 0
9 -42 -3 1849
-7 71 3 13179
-2 66 -3 8866
-6 40 1 175
39 -6 3 20980
61 8 -2 0
-52 22 -3 10486
-50 7 -3 1916
-11 -49 2 0
20 -66 0 8702
40 -18 -4 0
20 42 1 141
49 -58 -2 38
9 63 3 840
49 -36 3 3550
-22 -54 -2 538
22 5 3 3542
-15 43 -3 175
2 59 4 1001
-63 -22 2 13816
-29 64 4 8632
39 -52 2 38
-57 3 1 1356
25 -37 4 58
