0 52 0.091197
1 2 0.079897
2 13 0.060513
3 162 0.029086
4 29 0.019820
5 180 0.015058
6 207 0.013949
7 194 0.012249
8 90 0.009798
9 37 0.008931
10 10 0.007897
11 654 0.007871
12 423 0.006020
13 113 0.005490
14 120 0.005261
15 1234 0.004554
16 1449 0.004554
17 773 0.004343
18 381 0.003964
19 1194 0.003820
20 640 0.003530
21 1409 0.003489
22 758 0.003352
23 651 0.003067
24 1089 0.002753
25 1621 0.002540
26 605 0.002510
27 945 0.002413
28 1256 0.002331
29 860 0.002250
30 1273 0.002232
31 1127 0.002184
32 1100 0.002158
33 445 0.002104
34 196 0.002089
35 529 0.002048
36 547 0.002047
37 749 0.002043
38 751 0.001928
39 3223 0.001919
40 1160 0.001887
41 355 0.001864
42 699 0.001778
43 690 0.001761
44 1407 0.001709
45 2464 0.001696
46 2962 0.001681
47 494 0.001644
48 272 0.001616
49 160 0.001609
50 420 0.001575
51 2375 0.001574
52 1728 0.001563
53 1111 0.001504
54 986 0.001503
55 1985 0.001439
56 941 0.001431
57 1640 0.001389
58 1039 0.001373
59 3479 0.001368
60 2413 0.001357
61 1524 0.001351
62 1534 0.001311
63 43 0.001311
64 3761 0.001273
65 2704 0.001272
66 303 0.001231
67 1218 0.001218
68 2882 0.001205
69 816 0.001174
70 1394 0.001156
71 1362 0.001117
72 2634 0.001095
73 412 0.001082
74 1561 0.001071
75 5136 0.001058
76 4126 0.001033
77 2347 0.001010
78 3550 0.001008
79 5276 0.001000
80 1063 0.000996
81 1681 0.000994
82 1346 0.000943
83 2565 0.000936
84 2730 0.000932
85 2680 0.000931
86 1754 0.000921
87 382 0.000905
88 2567 0.000898
89 487 0.000873
90 2867 0.000873
91 4581 0.000870
92 2702 0.000867
93 770 0.000865
94 2199 0.000858
95 3595 0.000854
96 575 0.000837
97 609 0.000835
98 2819 0.000835
99 434 0.000829
