2 2.899817 1 0.866025  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000123
4 4.544489 1 1.219579  4 1 0 0   0 0 0  0.000000 0.000000  2.559313	0 0.000153
8 6.492128 1 1.446306  8 1 0 0   0 0 0  0.000000 0.000000  4.905349	0 0.000166
16 8.208935 1 1.699714  16 1 0 0   0 0 0  0.000000 0.000000  8.850956	0 0.000209
32 9.031271 1 2.327888  32 1 0 0   0 0 0  0.000000 0.000000  16.795490	0 0.000231
64 10.531674 1 2.941021  64 1 0 0   0 0 0  0.000000 0.000000  30.711752	0 0.000308
128 12.168387 1 3.491211  128 1 0 0   0 0 0  0.000000 0.000000  55.825008	0 0.000439
256 13.961714 7 3.993902  256 1 0 0   0 0 0  0.000000 0.000000  92.348533	0 0.000561
512 16.024405 10 4.578834  505 1 0 0   0 0 0  0.000000 0.000000  150.572897	0 0.000912
1024 18.509979 20 5.386539  959 1 0 0   0 0 0  0.000000 0.000000  254.704933	0 0.001403
2048 21.477031 54 6.620171  1757 1 0 0   0 0 0  0.000000 0.000000  459.876501	0 0.002666
4096 25.047245 97 8.141177  3264 1 0 0   0 0 0  0.000000 0.000000  750.571769	0 0.004607
8192 29.237086 173 10.053588  5738 1 0 0   0 0 0  0.000000 0.000000  1259.448444	0 0.009376
16384 34.262126 355 12.402626  9827 1 0 0   0 0 0  0.000000 0.000000  2028.255315	0 0.017671
32768 40.462875 689 15.395021  16786 1 0 0   0 0 0  0.000000 0.000000  3236.624143	0 0.036058
65536 48.255899 1320 19.194272  27981 1 0 0   0 0 0  0.000000 0.000000  5344.857981	0 0.076962
131072 57.737501 2642 24.011183  46238 1 0 0   0 0 0  0.000000 0.000000  8467.699347	0 0.170513
262144 69.632915 5286 30.122148  76748 1 0 0   0 0 0  0.000000 0.000000  13759.878141	0 0.361844
524288 84.361674 10430 37.801583  127290 1 0 0   0 0 0  0.000000 0.000000  22338.854271	0 0.821338
1048576 102.786507 20902 47.511193  202353 1 0 0   0 0 0  0.000000 0.000000  35037.470746	0 2.190799
2097152 125.797136 41790 59.773993  331587 2 0 0   0 0 0  0.000000 0.000000  56713.249751	0 5.954632
4194304 154.213908 83498 74.786416  549466 2 0 0   0 0 0  0.000000 0.000000  93615.286438	0 16.285864
8388608 188.156188 167158 91.907665  926785 2 0 0   0 0 0  0.000000 0.000000  156790.640802	0 45.234783
10000000 197.777835 199105 96.615569  1058179 2 1 1   0 0 0  0.000000 0.000000  178844.931492	0 61.022514
