2 2.899817 1 0.866025  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000114
4 4.544489 1 1.219579  4 1 0 0   0 0 0  0.000000 0.000000  2.559313	0 0.000142
8 6.492128 1 1.446306  8 1 0 0   0 0 0  0.000000 0.000000  4.905349	0 0.000154
16 8.208935 1 1.699714  16 1 0 0   0 0 0  0.000000 0.000000  8.850956	0 0.000196
32 9.031271 1 2.327888  32 1 0 0   0 0 0  0.000000 0.000000  16.795490	0 0.000217
64 10.531674 1 2.941021  64 1 0 0   0 0 0  0.000000 0.000000  30.711752	0 0.000297
128 12.168387 1 3.491211  128 1 0 0   0 0 0  0.000000 0.000000  55.825008	0 0.000435
256 13.961714 7 3.993902  256 1 0 0   0 0 0  0.000000 0.000000  92.348533	0 0.000557
512 16.024405 10 4.578834  505 1 0 0   0 0 0  0.000000 0.000000  150.572897	0 0.000907
1024 18.509979 20 5.386539  959 1 0 0   0 0 0  0.000000 0.000000  254.704933	0 0.001381
2048 21.477031 54 6.620171  1757 1 0 0   0 0 0  0.000000 0.000000  459.876501	0 0.002537
4096 25.047245 97 8.141177  3264 1 0 0   0 0 0  0.000000 0.000000  750.571769	0 0.004472
8192 29.237086 173 10.053588  5738 1 0 0   0 0 0  0.000000 0.000000  1259.448444	0 0.009070
16384 34.262126 355 12.402626  9827 1 0 0   0 0 0  0.000000 0.000000  2028.255315	0 0.017253
32768 40.462875 689 15.395021  16786 1 0 0   0 0 0  0.000000 0.000000  3236.624143	0 0.035801
65536 48.255899 1320 19.194272  27981 1 0 0   0 0 0  0.000000 0.000000  5344.857981	0 0.076171
131072 57.737501 2642 24.011183  46238 1 0 0   0 0 0  0.000000 0.000000  8467.699347	0 0.163698
262144 69.632915 5286 30.122148  76748 1 0 0   0 0 0  0.000000 0.000000  13759.878141	0 0.361266
524288 84.361674 10430 37.801583  127290 1 0 0   0 0 0  0.000000 0.000000  22338.854271	0 0.858737
1048576 102.786507 20902 47.511193  202353 1 0 0   0 0 0  0.000000 0.000000  35037.470746	0 2.228648
2097152 125.732642 41683 59.870681  332561 2 0 0   0 0 0  0.000000 0.000000  56845.480908	0 6.032422
4194304 153.641308 83601 77.519572  562518 3 0 0   0 0 0  0.000000 0.000000  95850.152935	0 16.081770
8388608 186.076460 166506 105.966878  987969 6 0 0   0 0 0  0.000000 0.000000  168045.591637	0 42.549744
10000000 194.944484 198176 114.997255  1150046 7 0 0   0 0 0  0.000000 0.000000  195604.590714	0 56.881756
