2 0.533797 1 0.707107  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000289
4 1.817796 1 1.036566  4 1 0 0   0 0 0  0.000000 0.000000  2.505994	0 0.000316
8 5.511095 1 2.793802  8 1 0 0   0 0 0  0.000000 0.000000  5.065306	0 0.000408
16 15.682095 1 4.447737  16 1 0 0   0 0 0  0.000000 0.000000  10.130613	0 0.000509
32 18.884878 2 6.529802  32 1 0 0   0 0 0  0.000000 0.000000  20.314545	0 0.000843
64 22.967705 7 7.663610  64 1 0 0   0 0 0  0.000000 0.000000  40.149218	0 0.000890
128 27.099038 10 7.770535  128 1 0 0   0 0 0  0.000000 0.000000  77.685804	0 0.001256
256 30.382712 17 7.808131  256 1 0 0   0 0 0  0.000000 0.000000  150.679535	0 0.001388
512 34.735873 31 8.883889  512 1 0 0   0 0 0  0.000000 0.000000  286.696342	0 0.002134
1024 40.035790 70 9.879177  1024 1 0 0   0 0 0  0.000000 0.000000  557.823531	0 0.003482
2048 46.414849 178 10.972236  2048 1 0 0   0 0 0  0.000000 0.000000  1062.541323	0 0.004730
4096 53.988561 401 12.572178  4096 1 0 0   0 0 0  0.000000 0.000000  2035.560020	0 0.007432
8192 63.487020 997 14.879197  8192 1 0 0   0 0 0  0.000000 0.000000  3945.767038	0 0.014612
16384 74.890117 2313 17.942736  16384 1 0 0   0 0 0  0.000000 0.000000  7772.899268	0 0.027631
32768 88.438400 5261 21.824001  32768 1 0 0   0 0 0  0.000000 0.000000  15172.885347	0 0.061444
65536 105.171943 12704 26.851758  65536 1 0 0   0 0 0  0.000000 0.000000  29736.494314	0 0.144119
131072 126.028199 30788 33.151397  131072 1 0 0   0 0 0  0.000000 0.000000  58369.711578	0 0.322707
262144 151.987603 74536 41.418720  262144 1 0 0   0 0 0  0.000000 0.000000  115454.061671	0 0.806150
524288 184.123978 181315 51.826486  524288 1 0 0   0 0 0  0.000000 0.000000  228147.424724	0 2.391478
1000000 221.338232 420274 63.950042  1000000 1 0 0   0 0 0  0.000000 0.000000  431648.401543	0 6.883128
