2 2.899817 1 0.866025  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000114
4 4.544489 1 1.219579  4 1 0 0   0 0 0  0.000000 0.000000  2.559313	0 0.000146
8 6.492128 1 1.446306  8 1 0 0   0 0 0  0.000000 0.000000  4.905349	0 0.000158
16 8.208935 1 1.699714  16 1 0 0   0 0 0  0.000000 0.000000  8.850956	0 0.000208
32 9.031271 1 2.327888  32 1 0 0   0 0 0  0.000000 0.000000  16.795490	0 0.000247
64 10.531674 1 2.941021  64 1 0 0   0 0 0  0.000000 0.000000  30.711752	0 0.000368
128 12.168387 1 3.491211  128 1 0 0   0 0 0  0.000000 0.000000  55.825008	0 0.000505
256 13.961714 7 3.993902  256 1 0 0   0 0 0  0.000000 0.000000  92.348533	0 0.000629
512 16.024405 10 4.578834  505 1 0 0   0 0 0  0.000000 0.000000  150.572897	0 0.000984
1024 18.509979 20 5.386539  959 1 0 0   0 0 0  0.000000 0.000000  254.704933	0 0.001462
2048 21.477031 54 6.620171  1757 1 0 0   0 0 0  0.000000 0.000000  459.876501	0 0.002633
4096 25.047245 97 8.141177  3264 1 0 0   0 0 0  0.000000 0.000000  750.571769	0 0.004565
8192 29.237086 173 10.053588  5738 1 0 0   0 0 0  0.000000 0.000000  1259.448444	0 0.009352
16384 34.262964 353 12.407728  9833 2 0 0   0 0 0  0.000000 0.000000  2046.597056	0 0.018611
32768 40.346591 706 15.360859  16977 2 0 0   0 0 0  0.000000 0.000000  3389.169844	0 0.043474
65536 47.863574 1374 19.006931  29222 2 0 0   0 0 0  0.000000 0.000000  5591.458423	0 0.087755
131072 56.681072 2670 23.424183  50337 3 0 0   0 0 0  0.000000 0.000000  9363.138878	0 0.170123
262144 67.327407 5287 28.987881  85987 6 0 0   0 0 0  0.000000 0.000000  15756.781876	0 0.354556
524288 79.746146 10577 36.614295  151829 7 0 0   0 0 0  0.000000 0.000000  27597.282129	0 0.795705
1048576 93.573762 21048 48.313669  275627 15 0 0   0 0 0  0.000000 0.000000  49982.204029	0 1.969801
2097152 108.697741 41985 66.400276  516011 24 0 0   0 0 0  0.000000 0.000000  93543.359087	0 4.958419
4194304 124.570889 83720 89.576525  993024 49 0 0   0 0 0  0.000000 0.000000  179674.415403	0 12.305981
8388608 140.985259 167376 117.084690  1928807 86 0 0   0 0 0  0.000000 0.000000  348141.920403	0 29.285620
10000000 145.242419 199650 124.260739  2284317 101 0 0   0 0 0  0.000000 0.000000  412153.530192	0 39.508636
