-71 50 8 19270
74 -60 -2 22356
67 30 -5 0
72 30 -1 1930
64 -9 7 25828
46 -68 -2 57956
-48 32 -5 24736
-32 -42 8 623
12 -51 7 10131
78 -57 1 4740
58 10 6 27985
-47 -47 -3 437
5 -12 -8 28157
83 40 -4 35079
-24 -40 -7 89798
0 -91 -8 47043
62 -57 7 0
12 -66 -3 76
80 5 7 13
-13 -18 2 65470
47 -56 3 5548
-85 1 -4 186
-62 40 3 15041
16 -86 -5 27892
-56 -39 1 17461
34 68 -4 7
-79 56 -7 6285
12 -26 1 3572
-18 45 -7 26611
-66 10 2 2264
32 -43 -2 51772
72 16 -1 27522
-73 14 3 627
46 37 0 0
-44 54 5 0
74 -37 -7 49763
22 -22 -4 13533
-85 -48 -2 26485
-52 -38 5 34766
0 -20 3 181
-46 15 3 74
-12 -4 -3 1176
-40 -9 7 3998
73 24 7 22819
-15 -22 5 6
-46 9 -7 6930
30 48 6 3
-53 -9 -6 18244
53 65 -7 29304
-13 -39 -4 10835
7 -47 -8 6
-57 50 3 3
-58 55 8 34682
89 -8 -5 1064
62 9 6 13
57 32 7 1930
-60 -8 6 54976
6 0 -5 47127
-5 -56 5 76
21 64 7 10068
13 59 0 7
-14 7 0 1298
72 -53 4 23842
72 5 -6 59230
-55 35 5 7464
17 79 -6 7
-70 -38 1 13429
-62 67 -8 6888
-67 -8 -6 199
-21 47 -1 23322
16 49 6 3840
66 15 6 51217
-82 38 -4 4106
-32 -23 -1 5482
-3 16 2 1428
-12 82 -6 23704
-49 -59 3 36157
-27 30 4 34592
-55 1 8 0
-68 -13 7 11738
24 75 -4 1115
22 52 -4 3
-24 -8 -2 2852
33 58 7 3
12 71 0 28574
-81 14 -6 39678
-83 -17 -1 9
-65 -62 -1 34106
80 23 -4 1930
-1 35 -6 96
26 71 -1 94012
18 29 6 1718
1 92 -3 7
-31 -7 0 6
77 -25 -7 1064
19 -88 -7 76
-30 -40 -5 2490
23 -12 0 37591
39 67 -4 5694
37 -29 -3 591
-67 -72 2 15066
34 -13 -2 79272
65 -64 1 17042
-47 -38 7 437
-44 -51 7 1765
7 81 -4 152
23 -44 -8 0
-30 -29 7 13063
76 -51 -5 23896
-66 -57 -1 2836
-14 43 6 4105
-19 -44 7 31161
38 60 -7 21478
62 25 5 1930
28 0 3 16698
-37 25 -1 1460
43 35 6 25134
-40 4 -7 199
-44 4 5 849
42 -6 3 647
80 -33 4 4794
-14 16 -4 2534
43 -56 -5 8657
-26 73 -1 18109
66 13 2 1435
62 -6 8 4789
-2 -86 -1 83367
78 -42 -2 4794
30 -85 -1 2922
-23 -13 4 6642
34 5 -7 914
-77 24 1 47611
-34 -94 -3 76
-42 -97 5 40908
8 46 8 3
-21 27 6 1445
53 -7 -5 0
-2 -82 4 76
46 -43 1 25545
30 54 -2 47838
34 -80 -5 28
-12 53 -1 53975
61 63 0 3686
37 63 7 67685
-37 -68 6 0
-61 -9 3 0
56 -34 -7 0
86 12 -1 2934
34 -75 0 28
-9 76 -4 35037
35 2 -8 5172
-37 3 -8 39826
-67 -12 0 31189
21 -37 5 0
-71 -58 2 437
-35 43 -6 6629
61 -49 4 48912
59 49 -2 72050
7 -74 1 3285
-28 -16 6 34673
22 -82 -2 28
21 44 2 22343
-68 -58 -5 437
-61 35 5 4106
-15 -48 -6 0
23 -45 -8 28
-48 -54 -1 84525
-34 5 -2 0
62 -34 -7 72727
-3 83 -8 7
-71 -10 6 9
31 -16 -3 771
-77 -44 0 2573
-11 -39 8 13198
-43 -33 6 3225
64 -28 -2 5873
-42 -54 -1 437
79 26 4 5938
68 -73 -2 0
-40 -8 2 38041
-24 76 2 7
-8 0 -6 17147
-8 -22 0 39
-64 14 8 15192
38 30 -7 7
-84 22 -4 627
-79 -23 -7 5452
-33 -48 0 4676
77 -8 -3 5326
