2 0.533797 1 0.707107  2 1 0 0   0 0 0  0.000000 0.000000  1.332975	0 0.000278
4 1.817796 1 1.036566  4 1 0 0   0 0 0  0.000000 0.000000  2.505994	0 0.000305
8 5.511095 1 2.793802  8 1 0 0   0 0 0  0.000000 0.000000  5.065306	0 0.000391
16 12.710143 1 4.208189  16 1 0 0   0 0 0  0.000000 0.000000  9.864018	0 0.000487
32 16.980520 2 4.997346  32 1 0 0   0 0 0  0.000000 0.000000  19.994630	0 0.000642
64 23.992018 8 5.789031  64 1 0 0   0 0 0  0.000000 0.000000  38.069776	0 0.000697
128 28.669364 12 6.857053  128 1 0 0   0 0 0  0.000000 0.000000  79.125418	0 0.000774
256 33.715580 21 7.258735  256 1 0 0   0 0 0  0.000000 0.000000  152.705658	0 0.001109
512 40.965431 54 8.339823  512 1 0 0   0 0 0  0.000000 0.000000  302.372132	0 0.001736
1024 47.952538 106 9.346460  1024 1 0 0   0 0 0  0.000000 0.000000  583.096744	0 0.002875
2048 57.002911 235 11.086401  2048 1 0 0   0 0 0  0.000000 0.000000  1148.224979	0 0.004322
4096 66.744700 562 13.121911  4096 1 0 0   0 0 0  0.000000 0.000000  2249.529226	0 0.007316
8192 78.748631 1345 15.791776  8192 1 0 0   0 0 0  0.000000 0.000000  4416.307341	0 0.016038
16384 92.644253 3120 19.314316  16384 1 0 0   0 0 0  0.000000 0.000000  8692.119079	0 0.033346
32768 109.711134 7394 23.631623  32768 1 0 0   0 0 0  0.000000 0.000000  17093.542891	0 0.071509
65536 130.858694 17744 29.219344  65536 1 0 0   0 0 0  0.000000 0.000000  33668.824960	0 0.162524
131072 157.879287 43873 36.350040  131072 1 0 0   0 0 0  0.000000 0.000000  66709.125376	0 0.386408
262144 191.078684 108032 45.411299  262144 1 5 5   0 0 0  0.000000 0.000000  132235.848284	0 1.009712
524288 232.374140 266307 56.816271  524288 1 3 3   0 0 0  0.000000 0.000000  262367.834890	0 2.984954
1000000 280.202778 619901 70.133460  1000000 1 0 0   0 0 0  0.000000 0.000000  497413.513765	0 9.182339
